,REF_DATE,GEO,Dairy distribution,VECTOR,VALUE,TERMINATED
317,1959-03,Canada,Fluid purposes,v382156,185679,0
318,1959-04,Canada,"Milk production, total",v382152,623883,1
319,1959-04,Canada,Fluid purposes,v382156,180436,0
320,1959-05,Canada,"Milk production, total",v382152,769368,1
321,1959-05,Canada,Fluid purposes,v382156,186990,0
322,1959-06,Canada,"Milk production, total",v382152,924466,1
323,1959-06,Canada,Fluid purposes,v382156,185679,0
324,1959-07,Canada,"Milk production, total",v382152,862427,1
325,1959-07,Canada,Fluid purposes,v382156,184368,0
326,1959-08,Canada,"Milk production, total",v382152,789466,1
327,1959-08,Canada,Fluid purposes,v382156,184368,0
328,1959-09,Canada,"Milk production, total",v382152,751019,1
329,1959-09,Canada,Fluid purposes,v382156,182621,0
330,1959-10,Canada,"Milk production, total",v382152,667572,1
331,1959-10,Canada,Fluid purposes,v382156,190485,0
332,1959-11,Canada,"Milk production, total",v382152,503300,1
333,1959-11,Canada,Fluid purposes,v382156,176941,0
334,1959-12,Canada,"Milk production, total",v382152,485388,1
335,1959-12,Canada,Fluid purposes,v382156,188737,0
336,1960-01,Canada,"Milk production, total",v382152,438640,1
337,1960-01,Canada,Fluid purposes,v382156,181310,0
338,1960-02,Canada,"Milk production, total",v382152,424223,1
339,1960-02,Canada,Fluid purposes,v382156,176941,0
340,1960-03,Canada,"Milk production, total",v382152,524271,1
341,1960-03,Canada,Fluid purposes,v382156,187864,0
342,1960-04,Canada,"Milk production, total",v382152,652718,1
343,1960-04,Canada,Fluid purposes,v382156,184805,0
344,1960-05,Canada,"Milk production, total",v382152,796893,1
345,1960-05,Canada,Fluid purposes,v382156,183058,0
346,1960-06,Canada,"Milk production, total",v382152,924029,1
347,1960-06,Canada,Fluid purposes,v382156,180873,0
348,1960-07,Canada,"Milk production, total",v382152,852378,1
349,1960-07,Canada,Fluid purposes,v382156,180873,0
350,1960-08,Canada,"Milk production, total",v382152,806941,1
351,1960-08,Canada,Fluid purposes,v382156,182184,0
352,1960-09,Canada,"Milk production, total",v382152,713446,1
353,1960-09,Canada,Fluid purposes,v382156,181310,0
354,1960-10,Canada,"Milk production, total",v382152,624320,1
355,1960-10,Canada,Fluid purposes,v382156,183932,0
356,1960-11,Canada,"Milk production, total",v382152,507233,1
357,1960-11,Canada,Fluid purposes,v382156,179563,0
358,1960-12,Canada,"Milk production, total",v382152,481893,1
359,1960-12,Canada,Fluid purposes,v382156,189611,0
360,1961-01,Canada,"Milk production, total",v382152,442572,1
361,1961-01,Canada,Fluid purposes,v382156,178689,0
362,1961-02,Canada,"Milk production, total",v382152,413737,1
363,1961-02,Canada,Fluid purposes,v382156,169077,0
364,1961-03,Canada,"Milk production, total",v382152,532135,1
365,1961-03,Canada,Fluid purposes,v382156,184805,0
366,1961-04,Canada,"Milk production, total",v382152,651844,1
367,1961-04,Canada,Fluid purposes,v382156,177378,0
368,1961-05,Canada,"Milk production, total",v382152,803009,1
369,1961-05,Canada,Fluid purposes,v382156,181310,0
370,1961-06,Canada,"Milk production, total",v382152,945873,1
371,1961-06,Canada,Fluid purposes,v382156,183058,0
372,1961-07,Canada,"Milk production, total",v382152,889514,1
373,1961-07,Canada,Fluid purposes,v382156,180436,0
374,1961-08,Canada,"Milk production, total",v382152,839271,1
375,1961-08,Canada,Fluid purposes,v382156,180873,0
376,1961-09,Canada,"Milk production, total",v382152,758446,1
377,1961-09,Canada,Fluid purposes,v382156,183495,0
378,1961-10,Canada,"Milk production, total",v382152,692038,1
379,1961-10,Canada,Fluid purposes,v382156,182184,0
380,1961-11,Canada,"Milk production, total",v382152,545242,1
381,1961-11,Canada,Fluid purposes,v382156,177378,0
382,1961-12,Canada,"Milk production, total",v382152,489320,1
383,1961-12,Canada,Fluid purposes,v382156,184805,0
384,1962-01,Canada,"Milk production, total",v382152,461359,1
385,1962-01,Canada,Fluid purposes,v382156,180436,0
386,1962-02,Canada,"Milk production, total",v382152,417669,1
387,1962-02,Canada,Fluid purposes,v382156,169514,0
388,1962-03,Canada,"Milk production, total",v382152,532135,1
389,1962-03,Canada,Fluid purposes,v382156,191796,0
390,1962-04,Canada,"Milk production, total",v382152,636990,1
391,1962-04,Canada,Fluid purposes,v382156,174757,0
392,1962-05,Canada,"Milk production, total",v382152,803883,1
393,1962-05,Canada,Fluid purposes,v382156,183058,0
394,1962-06,Canada,"Milk production, total",v382152,955485,1
395,1962-06,Canada,Fluid purposes,v382156,185679,0
396,1962-07,Canada,"Milk production, total",v382152,887330,1
397,1962-07,Canada,Fluid purposes,v382156,177378,0
398,1962-08,Canada,"Milk production, total",v382152,850194,1
399,1962-08,Canada,Fluid purposes,v382156,179999,0
400,1962-09,Canada,"Milk production, total",v382152,755388,1
401,1962-09,Canada,Fluid purposes,v382156,176941,0
402,1962-10,Canada,"Milk production, total",v382152,684611,1
403,1962-10,Canada,Fluid purposes,v382156,184805,0
404,1962-11,Canada,"Milk production, total",v382152,538689,1
405,1962-11,Canada,Fluid purposes,v382156,181310,0
406,1962-12,Canada,"Milk production, total",v382152,496747,1
407,1962-12,Canada,Fluid purposes,v382156,186990,0
408,1963-01,Canada,"Milk production, total",v382152,467475,1
409,1963-01,Canada,Fluid purposes,v382156,180436,0
410,1963-02,Canada,"Milk production, total",v382152,422475,1
411,1963-02,Canada,Fluid purposes,v382156,169951,0
